unit_id,ori_dg,tf_dg,preferred_orientation,preferred_temporal_frequency,osi_dg,dsi_dg,cv_os_dg,cv_ds_dg,peak_dff_dg
1515,0,1,0.0,2.0,0.06344410876132925,0.0,0.035333655745666936,0.6414077515784129,4.693333333333333
1516,0,1,0.0,2.0,0.1219512195121951,0.0,0.0793650793650793,0.6457467041501821,0.30666666666666664
1517,0,1,0.0,2.0,0.4615384615384616,0.0,0.3343058615365671,0.6063242732721439,0.25333333333333335
1518,0,2,0.0,4.0,0.5199999999999999,0.0,0.3329725828668919,0.6941599118008326,0.25333333333333335
1519,3,4,135.0,15.0,0.25510976532929597,0.0,0.13394456970241073,0.6300351078075638,11.053333333333333
1520,3,4,135.0,15.0,0.6363636363636362,0.0,0.35355339059327373,0.6406710665077547,0.24
1521,3,4,135.0,15.0,0.3846153846153845,0.0,0.2317736142542174,0.603337422869544,0.12
1522,3,4,135.0,15.0,0.11505229649840842,0.0,0.06430739312131473,0.6465082085022482,16.346666666666668
1523,0,4,0.0,15.0,0.75,0.0,0.44721359549995787,0.5129479511251135,0.09333333333333334
1524,2,2,90.0,4.0,0.3636363636363636,0.0,0.2945075446869757,0.7500665025675938,0.6
1525,3,4,135.0,15.0,0.24999999999999994,0.0,0.1456862718169367,0.6403294402718707,0.6666666666666666
1526,2,4,90.0,15.0,0.25,0.0,0.18633899812498245,0.6797754457679729,0.13333333333333333
1527,3,4,135.0,15.0,0.15789473684210523,0.0,0.12478354962115536,0.6063651559568118,0.14666666666666667
1528,3,4,135.0,15.0,0.4545454545454546,0.0,0.3362832433427013,0.685517670745112,0.32
1529,0,1,0.0,2.0,0.4285714285714285,0.0,0.23076923076923073,0.6152430738592816,0.13333333333333333
1530,0,3,0.0,8.0,0.11442786069651739,0.0,0.0643815595150604,0.6478834822754601,1.4933333333333334
1531,3,4,135.0,15.0,0.1318864774624374,0.0,0.06693209081447743,0.6354344215683432,13.56
1532,0,1,0.0,2.0,0.03236311825768372,0.0,0.01658199765145464,0.6488182781918986,33.81333333333333
1533,0,1,0.0,2.0,0.09604519774011296,0.0,0.07705650820622632,0.6620862793230969,1.2933333333333332
